model_name,device_type,cores,batch_size,load_time,exec_time,warmup_time,input_size
bert-21b,cpu,16,1,51.46744728088379,24.662712812423706,6.046510934829712,2304
bert-21b,cuda,1,1,63.10947227478027,0.10734915733337402,0.6846084594726562,2304
opt-66b-0,cpu,16,1,192.2501983642578,21.527106761932373,10.279008626937866,55018240
opt-66b-0,cuda,1,1,54.550811767578125,0.09143304824829102,0.1964712142944336,55018240
opt-66b-1,cpu,16,1,130.23742938041687,23.057658195495605,2.1832587718963623,52625408
opt-66b-1,cuda,1,1,53.46639943122864,0.09551405906677246,0.09341239929199219,52625408
opt-66b-2,cpu,16,1,148.09624242782593,19.57152533531189,10.651448488235474,50233344
opt-66b-2,cuda,1,1,48.09811210632324,0.0911402702331543,0.11192154884338379,50233344
llama-7b,cpu,16,1,51.87438201904297,-1.0,-1.0,35725824
llama-7b,cuda,1,1,10.147994756698608,0.03571581840515137,0.5372006893157959,35725824
wideresnet-9b,cpu,16,1,7.851951837539673,25.869457244873047,-2.7401773929595947,98304
wideresnet-9b,cuda,1,1,9.395397424697876,0.6491410732269287,1.604245901107788,98304
switch-base-128,cpu,16,1,11.700410842895508,-1.0,-1.0,32258304
switch-base-128,cuda,1,1,9.674832582473755,0.0724937915802002,1.102024793624878,32258304
whisper-large-v2,cpu,16,1,2.433283567428589,-1.0,-1.0,123529228
whisper-large-v2,cuda,1,1,1.2887709140777588,0.0738823413848877,1.025954008102417,123529228
wideresnet-9b,cpu,16,1,69.0228099822998,-1.0,-1.0,98304
wideresnet-9b,cuda:2,1,1,10.734219789505005,0.6457564830780029,1.43408203125,98304
stable-diffusion,cpu,16,1,3.604095697402954,-1.0,-1.0,942232834
stable-diffusion,cuda,1,1,1.3257012367248535,0.11995720863342285,1.0778541564941406,942232834
opt-1.3b,cpu,16,1,4.743875980377197,-1.0,-1.0,16384
opt-1.3b,cuda,1,1,1.264040470123291,0.05818963050842285,0.7739772796630859,16384
llama2-7b,cpu,16,1,13.244596004486084,-1.0,-1.0,16384
llama2-7b,cuda,1,1,31.733335971832275,0.24289417266845703,3.0918638706207275,16384
llama2-70b-0,cpu,16,1,11.318370342254639,-1.0,-1.0,16384
llama2-70b-0,cuda,1,1,14.590396165847778,0.27887701988220215,2.619479179382324,16384
llama2-70b-1,cpu,16,1,23.72852659225464,-1.0,-1.0,54534200
llama2-70b-1,cuda,1,1,25.563615083694458,0.5455741882324219,0.285642147064209,54534200
llama2-70b-2,cpu,16,1,22.26194477081299,-1.0,-1.0,52436992
llama2-70b-2,cuda,1,1,30.783863306045532,0.4783458709716797,0.043500661849975586,35659776
llama2-70b-3,cpu,16,1,64.36859321594238,-1.0,-1.0,77602816
llama2-70b-3,cuda,1,1,32.7958197593689,0.47684717178344727,0.4220092296600342,77602816
